"";"Genera_Prefix";"Lineage_Name";"Lineage";"parasiteGenus";"order";"family";"genus";"species";"Host_Environment";"continent";"country";"Latitude";"Longitude";"strategy_3";"distance_4";"distance_quanti_RES0";"distance_quanti_ALL"
"4904";"P_";"ISLHAU01";"P_ISLHAU01";"Plasmodium";"Passeriformes";"Pipridae";"Pipra";"Pipra_fasciicauda";"Wild";"South_America";"Peru";-11,4333333333333;-69,9166666666667;"resident";"resident";"0";"491.902982911733"
"4905";"P_";"ISLHAU02";"P_ISLHAU02";"Plasmodium";"Passeriformes";"Thamnophilidae";"Myrmotherula";"Myrmotherula_hauxwelli";"Wild";"South_America";"Brazil";-3,5;-55,7166666666667;"resident";"resident";"0";"524.601071125686"
"4906";"H_";"ISLHAU03";"H_ISLHAU03";"Haemoproteus";"Passeriformes";"Thamnophilidae";"Myrmotherula";"Myrmotherula_hauxwelli";"Wild";"South_America";"Brazil";-3,5;-55,7166666666667;"resident";"resident";"0";"524.601071125686"
"4907";"H_";"ISPIC02";"H_ISPIC02";"Haemoproteus";"Coraciiformes";"Alcedinidae";"Halcyon";"Halcyon_leucocephala";"Wild";"Africa";"Benin";0;0;"partial_mig";"short";"1572.18560415407";"1572.18560415407"
"4908";"H_";"ISPIC02";"H_ISPIC02";"Haemoproteus";"Passeriformes";"Malaconotidae";"Laniarius";"Laniarius_barbarus";"Wild";"Africa";"Benin";0;0;"resident";"resident";"0";"455.676943690087"
"4909";"P_";"IXMIN01";"P_IXMIN01";"Plasmodium";"Ciconiiformes";"Ardeidae";"Ixobrychus";"Ixobrychus_minutus";"Wild";"Asia";"Israel";0;0;"partial_mig";"long";"4862.49618125499";"4862.49618125499"
"4910";"P_";"IXOFLA01";"P_IXOFLA01";"Plasmodium";"Ciconiiformes";"Ardeidae";"Ixobrychus";"Ixobrychus_flavicollis";"Wild";"Oceania";"Australia";0;0;"partial_mig";"variable";"1993.31106862548";"1993.31106862548"
"4911";"P_";"IXOMIN02";"P_IXOMIN02";"Plasmodium";"Ciconiiformes";"Ardeidae";"Ixobrychus";"Ixobrychus_minutus";"Wild";"Asia";"Turkey";40,3736111111111;37,7586111111111;"partial_mig";"long";"4862.49618125499";"4862.49618125499"
"4912";"P_";"IXOMIN03";"P_IXOMIN03";"Plasmodium";"Ciconiiformes";"Ardeidae";"Ixobrychus";"Ixobrychus_minutus";"Wild";"Asia";"Turkey";40,3736111111111;37,7586111111111;"partial_mig";"long";"4862.49618125499";"4862.49618125499"
"4913";"H_";"JUHYE01";"H_JUHYE01";"Haemoproteus";"Passeriformes";"Fringillidae";"Junco";"Junco_hyemalis";"Wild";"North_America";"United_States";0;0;"partial_mig";"variable";"1585.20387452338";"1585.20387452338"
"4914";"H_";"JUHYE02";"H_JUHYE02";"Haemoproteus";"Passeriformes";"Fringillidae";"Junco";"Junco_hyemalis";"Wild";"North_America";"United_States";64,8666666666667;-146,266666666667;"partial_mig";"variable";"1585.20387452338";"1585.20387452338"
"4915";"H_";"JUHYE03";"H_JUHYE03";"Haemoproteus";"Passeriformes";"Fringillidae";"Junco";"Junco_hyemalis";"Wild";"North_America";"United_States";61,15;-148,833333333333;"partial_mig";"variable";"1585.20387452338";"1585.20387452338"
"4916";"H_";"JUHYE03";"H_JUHYE03";"Haemoproteus";"Passeriformes";"Sittidae";"Sitta";"Sitta_pygmaea";"Wild";"North_America";"United_States";36,4444444444444;-104,116666666667;"resident";"resident";"0";"451.180297832048"
"4917";"H_";"JUHYE03";"H_JUHYE03";"Haemoproteus";"Passeriformes";"Turdidae";"Sialia";"Sialia_mexicana";"Wild";"North_America";"United_States";36,4444444444444;-104,116666666667;"partial_mig";"short";"885.959009624836";"885.959009624836"
"4918";"L_";"JUHYE04";"L_JUHYE04";"Leucocytozoon";"Passeriformes";"Fringillidae";"Junco";"Junco_hyemalis";"Wild";"North_America";"United_States";67,3847222222222;-145,921666666667;"partial_mig";"variable";"1585.20387452338";"1585.20387452338"
"4919";"L_";"JUHYE05";"L_JUHYE05";"Leucocytozoon";"Passeriformes";"Fringillidae";"Junco";"Junco_hyemalis";"Wild";"North_America";"United_States";66,2261111111111;-147,467222222222;"partial_mig";"variable";"1585.20387452338";"1585.20387452338"
"4920";"L_";"JUHYE06";"L_JUHYE06";"Leucocytozoon";"Passeriformes";"Fringillidae";"Junco";"Junco_hyemalis";"Wild";"North_America";"United_States";0;0;"partial_mig";"variable";"1585.20387452338";"1585.20387452338"
